@relation 'datasets'

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'طوال حياتي لم المس اي تغير حتى قدمت هذه الحكومة فل نقف بجانها بصوتنا',pos
'منتوج رائع  وثمن مناسب ....جميل',pos
'كلنا ابن كيران لمتافق معايا يدير جيم',pos
'وفقك الله لولاية اخرى حقاش مكينش محسن منك',pos
'لأنه و بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله الله في ميزان حسناته',pos
'صدق من قال بن كيران أحسن رئيس حكومة مند الاستقلال  تحياتي لك .',pos
'"حبنا لك لن ينتهي،',pos
'"تحية حب وإحترام من الفايسبوك إلى الملك الهمام ',pos
'أقـول: ملكنا واحد،، محمـد ',pos
'_,"أَحْــسَـنُ ثُنَــائِي مَـلَــكِي فِــي الـعَـالَــــمِ.',pos
',"إبتسامة مـــلــــك : أعشقـــــــــــــــــــــــــك ، ',pos
'مغربنا وطنـــنــا روحــي فــداه...........ومـــن يدس حقوقه يـــــــدق رداه',pos
'أعشـقـك يا مـلكي أينما تكــــون وحيثما تكـــــــــــون',pos
'حفظك الله لنا و شافاك و عافاك و بارك في عمرك يا حبيب الملايين♥',pos
'شكرا يا محمد السادس...♥',pos
'"الصحراء مغربية شاء من شاء و أبى من أبى',pos
'_,"ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي',pos
'و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة',pos
'و ما شعــارنـا الخــالـد غـصـبا عــن كــل حــاقــد',pos
'الـــــــلــــــــــه الـــــــوطـــــــــن الــــــمــــلـــــك',pos
'أتقدم بأحر التهاني الى جمـيع المغاربة الأمازيغيين،،',pos
'أَحْـــسَـــــنْ مَــــلِــــــك فِـــــي الـعَــــــالَـــــم',pos
'أعـشـقك عـنـدما أكـــــــــون أو لا أكـــــــــــــــــون ',pos
'"شكرا للجمهور و للكوموندو الطاوسي و اللاعبين على التأهل المعجزة للمغرب',pos
'أعـشــقك فــي كل مديـنة في كل مكان في الكـــون',pos
'مليون جيم لأعز و أغلى الناس.',pos
'_,"أحسن فيديو في العالم عن المملكة المغربية الشريفة.',pos
'أحسن فيديو في العالم لأحسن مــلــك فــي الــعالــم.',pos
'مـــلــكــنا واحد محمد السادس",أحــســن فيديو في العالم عن المغرب',pos
'أتـــرك تـــهــنــئــتــك لـلأميرة الغالية.',pos
'واحــلم بـــشـمـــس مـــضـــيــئــة فــي غد جــمــيـــــل',pos
'إذا السماء تفخر بوجود النجوم فيها .. فلابد للأرض أن تفخر بوجود محمد السادس عليها',pos
'عذرا ""فيثاغورث"" : المملكة المغربية هي المعادلة الأصعب',pos
'-عذرا ""نيوتن"" : مـــــــــــراكــــش هـــي التـي تجـــذبـــنــا',pos
'عذرا ""ديكارت"" : أنا مـــــــــغــــــــــربـــــــــي إذاً أنا موجود',pos
